Annual Income (k$),Spending Score (1-100)
54,37
40,23
46,67
27,37
86,16
126,49
73,29
28,53
49,16
14,88
57,60
101,78
59,81
56,23
67,76
80,25
41,71
54,22
76,57
67,59
16,39
78,61
64,4
14,35
74,61
72,58
60,16
52,14
61,54
81,84
70,52
60,46
79,39
40,28
42,53
32,22
72,49
27,39
45,65
76,45
27,80
0,97
83,45
66,39
55,27
71,45
34,43
43,24
11,52
33,33
76,40
64,0
56,0
86,71
85,18
6,77
57,19
84,57
61,44
63,26
118,57
3,61
48,22
77,66
39,10
61,43
51,19
11,37
30,41
61,75
111,82
67,20
43,52
75,25
87,63
80,26
76,2
61,81
67,58
56,12
75,70
59,25
88,98
90,30
77,37
32,73
73,94
95,58
54,58
91,18
31,38
92,64
95,17
73,56
71,79
92,80
55,79
103,38
0,54
79,68
17,89
56,100
6,63
109,57
73,41
82,63
90,21
44,69
94,53
55,75
15,5
65,50
74,37
66,58
21,82
53,18
104,79
60,84
63,54
78,54
85,43
77,65
49,41
66,73
66,56
17,51
66,4
78,24
39,70
35,61
60,21
76,14
65,82
72,45
94,79
14,40
38,100
84,35
110,29
59,100
63,99
57,73
81,74
75,74
11,27
52,24
27,51
65,23
88,45
73,43
40,60
66,38
50,93
56,48
85,49
74,85
29,63
70,70
29,34
47,36
30,84
41,42
79,77
110,91
26,4
51,7
56,44
51,37
73,36
85,58
81,83
68,67
119,65
85,78
55,30
1,10
79,53
80,19
15,58
14,56
75,10
87,47
83,56
66,35
50,34
74,90
57,23
53,48
50,75
31,21
71,79
60,17
50,34
34,40
55,13
9,30
102,33
65,63
63,91
83,31
52,100
41,73
95,65
27,87
44,33
109,76
61,1
36,76
62,50
25,90
84,68
57,56
20,72
51,25
65,76
58,24
81,60
72,42
72,47
96,44
89,69
49,17
86,5
103,62
70,69
89,39
54,38
48,51
47,55
40,10
22,12
67,55
72,2
69,90
103,36
65,71
7,0
94,65
21,42
69,6
58,78
58,52
57,29
52,18
63,42
88,55
51,44
94,20
65,51
83,82
47,42
78,52
31,49
58,51
63,43
57,63
99,53
72,85
79,61
81,53
80,41
45,73
72,100
93,59
48,82
71,55
96,70
8,3
51,72
63,1
63,11
93,62
35,63
49,61
65,59
82,70
48,52
74,49
69,29
0,70
48,44
43,80
104,5
54,53
55,1
100,72
58,77
28,66
101,58
96,34
75,39
63,60
118,59
60,43
63,65
52,49
72,0
48,14
66,74
63,27
74,38
41,79
53,34
66,57
86,51
75,38
41,20
45,63
38,66
100,46
55,69
63,84
100,52
75,35
54,60
37,1
69,36
15,65
69,62
83,59
70,21
49,27
59,88
59,60
30,24
96,11
63,25
82,24
37,35
22,71
24,49
66,76
40,67
62,66
16,56
24,84
63,0
40,56
103,68
75,91
60,26
59,2
69,59
56,93
66,42
79,15
78,83
62,19
85,84
33,6
79,7
68,80
92,42
90,34
80,52
56,58
119,40
52,43
44,0
70,85
55,16
19,54
60,32
55,85
106,62
43,83
55,72
45,40
9,35
95,39
74,16
0,28
53,58
114,34
57,21
99,72
59,27
28,79
79,54
59,35
34,66
25,65
81,57
67,12
43,74
79,54
89,42
91,18
13,53
70,71
46,41
77,33
55,65
94,31
80,54
83,20
2,13
73,42
63,31
58,0
54,35
65,64
47,66
113,59
74,36
91,70
32,70
74,66
57,59
73,50
63,0
91,41
44,42
86,64
39,33
56,64
59,0
89,12
70,92
25,65
32,37
48,37
69,27
67,85
68,25
87,67
50,37
30,54
50,0
61,94
32,31
101,87
73,76
75,41
92,1
82,45
79,56
45,84
90,64
47,51
28,36
62,81
21,78
48,46
53,21
72,89
89,0
81,17
86,50
62,22
71,49
107,63
46,52
86,11
38,18
3,37
66,41
22,46
78,0
58,81
33,16
74,47
48,48
39,61
45,82
64,52
124,37
60,61
55,43
72,43
31,41
113,24
87,55
32,73
96,48
35,27
82,77
80,70
79,77
81,57
60,51
38,83
61,24
66,61
61,43
73,35
48,39
40,41
0,96
68,84
84,73
49,28
47,13
52,100
44,59
57,75
90,19
27,66
60,91
45,88
81,6
52,32
0,61
63,74
48,62
41,34
48,72
35,62
51,33
55,23
36,44
32,40
53,58
39,37
91,57
83,78
32,65
73,50
111,39
63,76
43,53
121,42
12,27
70,52
84,52
62,0
75,50
53,43
55,80
42,47
54,90
53,55
90,67
81,0
30,61
82,98
32,25
127,62
79,45
40,43
38,90
64,36
45,60
50,45
80,15
69,100
65,71
33,73
73,14
63,7
66,38
43,52
61,77
124,77
89,61
70,53
57,80
13,0
68,79
53,75
73,52
67,39
45,60
76,56
32,42
24,29
52,56
108,68
129,40
76,66
64,27
60,63
66,73
111,75
76,57
30,43
67,43
62,30
91,64
43,61
73,15
92,54
29,12
45,81
55,46
54,71
64,72
60,62
71,44
43,47
60,57
92,61
61,76
42,100
96,5
16,56
99,63
80,25
75,77
29,39
105,63
37,40
57,7
92,30
57,39
74,73
107,47
60,26
120,39
40,47
129,53
65,75
68,37
82,86
75,58
41,45
61,40
68,57
68,92
57,88
41,38
58,42
70,53
97,67
79,73
96,28
82,56
98,0
0,59
54,40
80,53
37,24
42,63
92,26
58,76
27,93
106,77
85,14
110,0
85,42
83,56
40,0
23,79
84,33
38,69
